Extracting ../MNIST_data/train-images-idx3-ubyte.gz
Extracting ../MNIST_data/train-labels-idx1-ubyte.gz
Extracting ../MNIST_data/t10k-images-idx3-ubyte.gz
Extracting ../MNIST_data/t10k-labels-idx1-ubyte.gz
('Train', (55000, 784), 'Test', (10000, 784))
('Details', 'mnist_uni_noise_kappa_4_adv.csv', 'MNIST Grad -- New Framework', 100, 64, 25)
('minibatch Accuracy (i, batch number)', 11, 500, [0.3702, 0.18574092, 0.6467619])
('minibatch Accuracy (i, batch number)', 11, 550, [0.3800727, 0.17111745, 0.6444382])
('minibatch Accuracy (i, batch number)', 11, 600, [0.37167272, 0.17790854, 0.6480709])
('minibatch Accuracy (i, batch number)', 11, 650, [0.37974545, 0.17623724, 0.6467279])
('minibatch Accuracy (i, batch number)', 11, 700, [0.38189092, 0.17015506, 0.6434716])
('minibatch Accuracy (i, batch number)', 11, 750, [0.40154546, 0.18553375, 0.64349216])
('minibatch Accuracy (i, batch number)', 11, 800, [0.39781818, 0.17730899, 0.6458194])
('minibatch Accuracy (i, batch number)', 11, 850, [0.37285453, 0.16785316, 0.6477222])
('Accuracy', 11, 'Test', array([0.39770001]), 'Train', array([0.38372728]))
('minibatch Accuracy (i, batch number)', 12, 50, [0.38305455, 0.17266364, 0.6457861])
('minibatch Accuracy (i, batch number)', 12, 100, [0.39578182, 0.17412694, 0.6420897])
('minibatch Accuracy (i, batch number)', 12, 150, [0.40641817, 0.17179848, 0.6463381])
('minibatch Accuracy (i, batch number)', 12, 200, [0.39787272, 0.16522732, 0.64680225])
('minibatch Accuracy (i, batch number)', 12, 250, [0.39694545, 0.16943629, 0.64578766])
('minibatch Accuracy (i, batch number)', 12, 300, [0.38741818, 0.16492216, 0.6464501])
('minibatch Accuracy (i, batch number)', 12, 350, [0.393, 0.17284049, 0.64689523])
('minibatch Accuracy (i, batch number)', 12, 400, [0.37732726, 0.16829677, 0.64730597])
('minibatch Accuracy (i, batch number)', 12, 450, [0.38105455, 0.1775239, 0.644784])
('minibatch Accuracy (i, batch number)', 12, 500, [0.38525453, 0.16247359, 0.6501944])
('minibatch Accuracy (i, batch number)', 12, 550, [0.38056365, 0.16532484, 0.64798343])
('minibatch Accuracy (i, batch number)', 12, 600, [0.3882, 0.17061126, 0.6508474])
('minibatch Accuracy (i, batch number)', 12, 650, [0.37998182, 0.16982868, 0.64770347])
('minibatch Accuracy (i, batch number)', 12, 700, [0.36665455, 0.16416149, 0.6493769])
('minibatch Accuracy (i, batch number)', 12, 750, [0.39454547, 0.16614124, 0.64522845])
('minibatch Accuracy (i, batch number)', 12, 800, [0.37527272, 0.15855974, 0.64740026])
