Extracting ../MNIST_data/train-images-idx3-ubyte.gz
Extracting ../MNIST_data/train-labels-idx1-ubyte.gz
Extracting ../MNIST_data/t10k-images-idx3-ubyte.gz
Extracting ../MNIST_data/t10k-labels-idx1-ubyte.gz
('Train', (55000, 784), 'Test', (10000, 784))
('minibatch Accuracy (i, batch number)', 3, 750, [0.90854543, 0.31084368])
('minibatch Accuracy (i, batch number)', 3, 800, [0.91005456, 0.30741593])
('minibatch Accuracy (i, batch number)', 3, 850, [0.90950906, 0.30529824])
('Accuracy', 3, 'Test', array([0.91149998]), 'Train', array([0.90996361]))
('minibatch Accuracy (i, batch number)', 4, 50, [0.91096365, 0.30141783])
('minibatch Accuracy (i, batch number)', 4, 100, [0.91185457, 0.29888487])
('minibatch Accuracy (i, batch number)', 4, 150, [0.9123273, 0.29729658])
('minibatch Accuracy (i, batch number)', 4, 200, [0.9119818, 0.2959174])
('minibatch Accuracy (i, batch number)', 4, 250, [0.9133273, 0.29296944])
('minibatch Accuracy (i, batch number)', 4, 300, [0.9142909, 0.28957665])
('minibatch Accuracy (i, batch number)', 4, 350, [0.91492724, 0.28755116])
('minibatch Accuracy (i, batch number)', 4, 400, [0.9162727, 0.28426808])
('minibatch Accuracy (i, batch number)', 4, 450, [0.91725457, 0.2812042])
('minibatch Accuracy (i, batch number)', 4, 500, [0.9178909, 0.27941057])
('minibatch Accuracy (i, batch number)', 4, 550, [0.9181273, 0.2774453])
('minibatch Accuracy (i, batch number)', 4, 600, [0.9186909, 0.2745589])
('minibatch Accuracy (i, batch number)', 4, 650, [0.91876364, 0.27355564])
('minibatch Accuracy (i, batch number)', 4, 700, [0.91934544, 0.27194732])
('minibatch Accuracy (i, batch number)', 4, 750, [0.9202, 0.26921517])
('minibatch Accuracy (i, batch number)', 4, 800, [0.9210182, 0.2674476])
('minibatch Accuracy (i, batch number)', 4, 850, [0.9212, 0.2657834])
('Accuracy', 4, 'Test', array([0.9181]), 'Train', array([0.92140001]))
('minibatch Accuracy (i, batch number)', 5, 50, [0.9216727, 0.2636958])
('minibatch Accuracy (i, batch number)', 5, 100, [0.92212725, 0.2612709])
('minibatch Accuracy (i, batch number)', 5, 150, [0.9224909, 0.2595485])
('minibatch Accuracy (i, batch number)', 5, 200, [0.9231091, 0.2574334])
('minibatch Accuracy (i, batch number)', 5, 250, [0.9233636, 0.25636303])
('minibatch Accuracy (i, batch number)', 5, 300, [0.9251636, 0.25317967])
('minibatch Accuracy (i, batch number)', 5, 350, [0.9248, 0.251211])
('minibatch Accuracy (i, batch number)', 5, 400, [0.92538184, 0.24969444])
('minibatch Accuracy (i, batch number)', 5, 450, [0.925, 0.24970591])
('minibatch Accuracy (i, batch number)', 5, 500, [0.92654544, 0.24651438])
('minibatch Accuracy (i, batch number)', 5, 550, [0.9267455, 0.24498194])
('minibatch Accuracy (i, batch number)', 5, 600, [0.9268909, 0.24432895])
('minibatch Accuracy (i, batch number)', 5, 650, [0.9278727, 0.24150439])
('minibatch Accuracy (i, batch number)', 5, 700, [0.9284727, 0.23937772])
('minibatch Accuracy (i, batch number)', 5, 750, [0.9286, 0.23839666])
('minibatch Accuracy (i, batch number)', 5, 800, [0.92905456, 0.23601848])
('minibatch Accuracy (i, batch number)', 5, 850, [0.9295091, 0.23492523])
('Accuracy', 5, 'Test', array([0.92720002]), 'Train', array([0.92972726]))
('minibatch Accuracy (i, batch number)', 6, 50, [0.9297818, 0.2334409])
('minibatch Accuracy (i, batch number)', 6, 100, [0.9298364, 0.23381943])
